Device_Location,State_Name,Device_State_Number,Fault_Description,Linac,Diag0,SXU,HXU,
Linac,X_T0,1,Linac BPM X Fault,1,-,-,-,
Linac,Y_T0,2,Linac BPM Y Fault,1,-,-,-,
Linac,TMIT_T0,3,Linac BPM TMIT Fault,1,-,-,-,
Diag0,X_T0,1,Diag0 BPM X Fault,-,1,-,-,
Diag0,Y_T0,2,Diag0 BPM Y Fault,-,1,-,-,
Diag0,TMIT_T0,3,Diag0 BPM TMIT Fault,-,1,-,-,
SXU,X_T0,1,SXU BPM X Fault,-,-,1,-,
SXU,Y_T0,2,SXU BPM Y Fault,-,-,1,-,
SXU,TMIT_T0,3,SXU BPM TMIT Fault,-,-,1,-,
HXU,X_T0,1,HXU BPM X Fault,-,-,-,1,
HXU,Y_T0,2,HXU BPM Y Fault,-,-,-,1,
HXU,TMIT_T0,3,HXU BPM TMIT Fault,-,-,-,1,