Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
BLMH23_WDOG,HXU,WDOG,UNDH,0,2375,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_0,241,B911-0620,34,0
BLMH24_WDOG,HXU,WDOG,UNDH,0,2475,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_1,241,B911-0620,35,0
BLMH25_WDOG,HXU,WDOG,UNDH,0,2575,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_2,241,B911-0620,36,0
BLMH26_WDOG,HXU,WDOG,UNDH,0,2675,MPLN:UNDH:MP01:1:ANA_OVERTHR_CNT_3,241,B911-0620,37,0
BLMH17_WDOG,HXU,WDOG,UNDH,0,1775,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_0,241,B911-0620,38,0
BLMH18_WDOG,HXU,WDOG,UNDH,0,1875,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_1,241,B911-0620,39,0
BMLH19_WDOG,HXU,WDOG,UNDH,0,1975,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_2,241,B911-0620,40,0
BLMH20_WDOG,HXU,WDOG,UNDH,0,2075,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_3,241,B911-0620,41,0
BLMH21_WDOG,HXU,WDOG,UNDH,0,2175,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_4,241,B911-0620,42,0
BLMH22_WDOG,HXU,WDOG,UNDH,0,2275,MPLN:UNDH:MP03:1:ANA_OVERTHR_CNT_5,241,B911-0620,43,0
BLMH13_WDOG,HXU,WDOG,UNDH,0,1375,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_2,241,B911-0620,44,0
BLMH14_WDOG,HXU,WDOG,UNDH,0,1475,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_3,241,B911-0620,45,0
BLMH15_WDOG,HXU,WDOG,UNDH,0,1575,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_4,241,B911-0620,46,0
BLMH16_WDOG,HXU,WDOG,UNDH,0,1675,MPLN:UNDH:MP04:1:ANA_OVERTHR_CNT_5,241,B911-0620,47,0
BLMH27_WDOG,HXU,WDOG,UNDH,0,2775,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_0,260,B912-1419,34,0
BLMH28_WDOG,HXU,WDOG,UNDH,0,2875,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_1,260,B912-1419,35,0
BLMH29_WDOG,HXU,WDOG,UNDH,0,2975,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_2,260,B912-1419,36,0
BLMH30_WDOG,HXU,WDOG,UNDH,0,3075,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_3,260,B912-1419,37,0
BLMH31_WDOG,HXU,WDOG,UNDH,0,3175,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_4,260,B912-1419,38,0
BLMH32_WDOG,HXU,WDOG,UNDH,0,3275,MPLN:UNDH:MP05:1:ANA_OVERTHR_CNT_5,260,B912-1419,39,0
BLMH45_WDOG,HXU,WDOG,UNDH,0,4575,MPLN:UNDH:MP06:1:ANA_OVERTHR_CNT_0,260,B912-1419,40,0
BLMH46_WDOG,HXU,WDOG,UNDH,0,4675,MPLN:UNDH:MP06:1:ANA_OVERTHR_CNT_1,260,B912-1419,41,0
BLMH33_WDOG,HXU,WDOG,UNDH,0,3375,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_0,260,B912-1419,42,0
BLMH34_WDOG,HXU,WDOG,UNDH,0,3475,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_1,260,B912-1419,43,0
BLMH35_WDOG,HXU,WDOG,UNDH,0,3575,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_2,260,B912-1419,44,0
BLMH36_WDOG,HXU,WDOG,UNDH,0,3675,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_3,260,B912-1419,45,0
BLMH37_WDOG,HXU,WDOG,UNDH,0,3775,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_4,260,B912-1419,46,0
BLMH38_WDOG,HXU,WDOG,UNDH,0,3875,MPLN:UNDH:MP08:1:ANA_OVERTHR_CNT_5,260,B912-1419,47,0
BLMH39_WDOG,HXU,WDOG,UNDH,0,3975,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_0,294,B913-10725,37,0
BLMH40_WDOG,HXU,WDOG,UNDH,0,4075,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_1,294,B913-10725,38,0
BLMH41_WDOG,HXU,WDOG,UNDH,0,4175,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_2,294,B913-10725,39,0
BLMH42_WDOG,HXU,WDOG,UNDH,0,4275,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_3,294,B913-10725,40,0
BLMH43_WDOG,HXU,WDOG,UNDH,0,4375,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_4,294,B913-10725,41,0
BLMH44_WDOG,HXU,WDOG,UNDH,0,4475,MPLN:UNDH:MP09:1:ANA_OVERTHR_CNT_5,294,B913-10725,42,0
BLMS26_WDOG,SXU,WDOG,UNDS,0,2610,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_0,254,B911-0634,35,0
BLMS27_WDOG,SXU,WDOG,UNDS,0,2710,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_1,254,B911-0634,36,0
BLMS28_WDOG,SXU,WDOG,UNDS,0,2810,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_2,254,B911-0634,37,0
BLMS29_WDOG,SXU,WDOG,UNDS,0,2910,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_3,254,B911-0634,38,0
BLMS30_WDOG,SXU,WDOG,UNDS,0,3010,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_4,254,B911-0634,39,0
BLMS31_WDOG,SXU,WDOG,UNDS,0,3110,MPLN:UNDS:MP02:1:ANA_OVERTHR_CNT_5,254,B911-0634,40,0
BLMS34_WDOG,SXU,WDOG,UNDS,0,3410,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_1,254,B911-0634,41,0
BLMS35_WDOG,SXU,WDOG,UNDS,0,3510,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_2,254,B911-0634,42,0
BLMS36_WDOG,SXU,WDOG,UNDS,0,3610,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_3,254,B911-0634,43,0
BLMS37_WDOG,SXU,WDOG,UNDS,0,3710,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_4,254,B911-0634,44,0
BLMS38_WDOG,SXU,WDOG,UNDS,0,3810,MPLN:UNDS:MP05:1:ANA_OVERTHR_CNT_5,254,B911-0634,45,0
BLMS39_WDOG,SXU,WDOG,UNDS,0,3910,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_0,254,B911-0634,46,0
BLMS40_WDOG,SXU,WDOG,UNDS,0,4010,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_1,254,B911-0634,47,0
BLMS41_WDOG,SXU,WDOG,UNDS,0,4110,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_2,266,B912-1426,35,0
BLMS42_WDOG,SXU,WDOG,UNDS,0,4210,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_3,266,B912-1426,36,0
BLMS43_WDOG,SXU,WDOG,UNDS,0,4310,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_4,266,B912-1426,37,0
BLMS44_WDOG,SXU,WDOG,UNDS,0,4410,MPLN:UNDS:MP06:1:ANA_OVERTHR_CNT_5,266,B912-1426,38,0
BLMS45_WDOG,SXU,WDOG,UNDS,0,4510,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_0,266,B912-1426,39,0
BLMS46_WDOG,SXU,WDOG,UNDS,0,4610,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_1,266,B912-1426,40,0
BLMS47_WDOG,SXU,WDOG,UNDS,0,4710,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_2,266,B912-1426,41,0
BLMS33_WDOG,SXU,WDOG,UNDS,0,3310,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_3,266,B912-1426,42,0
BLMS48_WDOG,SXU,WDOG,UNDS,0,4810,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_4,266,B912-1426,43,0
BLMS32_WDOG,SXU,WDOG,UNDS,0,3210,MPLN:UNDS:MP07:1:ANA_OVERTHR_CNT_5,266,B912-1426,44,0
SIOC_UNDH_BP05_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP05:MPSHEARTBEAT,227,B005-L0811,33,0
SIOC_UNDH_BP07_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP07:MPSHEARTBEAT,227,B005-L0811,34,0
SIOC_UNDH_BP08_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP08:MPSHEARTBEAT,227,B005-L0811,35,0
SIOC_UNDH_BP09_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP09:MPSHEARTBEAT,227,B005-L0811,36,0
SIOC_UNDH_BP10_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP10:MPSHEARTBEAT,227,B005-L0811,37,0
SIOC_UNDH_BP11_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP11:MPSHEARTBEAT,227,B005-L0811,38,0
SIOC_UNDH_BP12_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP12:MPSHEARTBEAT,227,B005-L0811,39,0
SIOC_UNDH_BP13_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP13:MPSHEARTBEAT,227,B005-L0811,40,0
SIOC_UNDH_BP14_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP14:MPSHEARTBEAT,227,B005-L0811,41,0
SIOC_UNDH_BP15_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP15:MPSHEARTBEAT,227,B005-L0811,42,0
SIOC_UNDH_BP16_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP16:MPSHEARTBEAT,227,B005-L0811,43,0
SIOC_UNDH_BP17_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP17:MPSHEARTBEAT,227,B005-L0811,44,0
SIOC_UNDH_BP18_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP18:MPSHEARTBEAT,227,B005-L0811,45,0
SIOC_UNDH_BP19_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:BP19:MPSHEARTBEAT,227,B005-L0811,46,0
SIOC_UNDS_BP01_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP01:MPSHEARTBEAT,228,B005-L0716,33,0
SIOC_UNDS_BP02_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP02:MPSHEARTBEAT,228,B005-L0716,34,0
SIOC_UNDS_BP03_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP03:MPSHEARTBEAT,228,B005-L0716,35,0
SIOC_UNDS_BP04_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP04:MPSHEARTBEAT,228,B005-L0716,36,0
SIOC_UNDS_BP05_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP05:MPSHEARTBEAT,228,B005-L0716,37,0
SIOC_UNDS_BP06_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP06:MPSHEARTBEAT,228,B005-L0716,38,0
SIOC_UNDS_BP07_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP07:MPSHEARTBEAT,228,B005-L0716,39,0
SIOC_UNDS_BP08_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP08:MPSHEARTBEAT,228,B005-L0716,40,0
SIOC_UNDS_BP09_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP09:MPSHEARTBEAT,228,B005-L0716,41,0
SIOC_UNDS_BP10_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP10:MPSHEARTBEAT,228,B005-L0716,42,0
SIOC_UNDS_BP11_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP11:MPSHEARTBEAT,228,B005-L0716,43,0
SIOC_UNDS_BP12_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP12:MPSHEARTBEAT,228,B005-L0716,44,0
SIOC_UNDS_BP13_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP13:MPSHEARTBEAT,228,B005-L0716,45,0
SIOC_UNDS_BP14_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:BP14:MPSHEARTBEAT,228,B005-L0716,46,0
SIOC_SPH_MP06_WDOG,HXU,WDOG,SPH,0,0,SIOC:SPH:MP06:HEARTBEAT,206,B136-0628,32,0
SIOC_SPH_MP07_WDOG,HXU,WDOG,SPH,0,0,SIOC:SPH:MP07:HEARTBEAT,206,B136-0628,33,0
SIOC_BSYH_MP01_WDOG,HXU,WDOG,BSYH,0,0,SIOC:BSYH:MP01:HEARTBEAT,215,B106-0124,32,0
SIOC_BSYH_MP02_WDOG,HXU,WDOG,BSYH,0,0,SIOC:BSYH:MP02:HEARTBEAT,215,B106-0124,33,0
SIOC_BSYH_MP03_WDOG,HXU,WDOG,BSYH,0,0,SIOC:BSYH:MP03:HEARTBEAT,227,B005-L0811,32,0
SIOC_LTUH_MP01_WDOG,HXU,WDOG,LTUH,0,0,SIOC:LTUH:MP01:HEARTBEAT,229,B105-0117,32,0
SIOC_LTUH_MP02_WDOG,HXU,WDOG,LTUH,0,0,SIOC:LTUH:MP02:HEARTBEAT,229,B105-0117,33,0
SIOC_LTUH_MP03_WDOG,HXU,WDOG,LTUH,0,0,SIOC:LTUH:MP03:HEARTBEAT,241,B912-1419,32,0
SIOC_LTUH_MP04_WDOG,HXU,WDOG,LTUH,0,0,SIOC:LTUH:MP04:HEARTBEAT,241,B912-1419,33,0
SIOC_LTUH_MP05_WDOG,HXU,WDOG,LTUH,0,0,SIOC:LTUH:MP05:HEARTBEAT,215,B106-0124,37,0
SIOC_LTUH_MP06_WDOG,HXU,WDOG,LTUH,0,0,SIOC:LTUH:MP06:HEARTBEAT,215,B106-0124,38,0
SIOC_UNDH_MP01_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP01:HEARTBEAT,294,B913-10725,32,0
SIOC_UNDH_MP02_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP02:HEARTBEAT,294,B913-10725,33,0
SIOC_UNDH_MP03_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP03:HEARTBEAT,294,B913-10725,34,0
SIOC_UNDH_MP04_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP04:HEARTBEAT,294,B913-10725,35,0
SIOC_UNDH_MP05_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP05:HEARTBEAT,316,B921-1524,32,0
SIOC_UNDH_MP06_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP06:HEARTBEAT,316,B921-1524,33,0
SIOC_UNDH_MP07_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP07:HEARTBEAT,316,B921-1524,34,0
SIOC_UNDH_MP08_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP08:HEARTBEAT,316,B921-1524,35,0
SIOC_UNDH_MP09_WDOG,HXU,WDOG,UNDH,0,0,SIOC:UNDH:MP09:HEARTBEAT,316,B921-1524,36,0
SIOC_FEEH_MP01_WDOG,HXU,WDOG,FEEH,0,0,SIOC:FEEH:MP01:HEARTBEAT,340,B940-009-R2,32,0
SIOC_SPS_MP05_WDOG,SXU,WDOG,SPS,0,0,SIOC:SPS:MP05:HEARTBEAT,201,B136-0528,32,0
SIOC_SPS_MP06_WDOG,SXU,WDOG,SPS,0,0,SIOC:SPS:MP06:HEARTBEAT,201,B136-0528,33,0
SIOC_SPS_MP07_WDOG,SXU,WDOG,SPS,0,0,SIOC:SPS:MP07:HEARTBEAT,201,B136-0528,34,0
SIOC_CLTS_MP01_WDOG,SXU,WDOG,CLTS,0,0,SIOC:CLTS:MP01:HEARTBEAT,200,B136-0521,32,0
SIOC_BSYS_MP01_WDOG,SXU,WDOG,BSYS,0,0,SIOC:BSYS:MP01:HEARTBEAT,221,B106-0131,32,0
SIOC_BSYS_MP02_WDOG,SXU,WDOG,BSYS,0,0,SIOC:BSYS:MP02:HEARTBEAT,221,B106-0131,33,0
SIOC_BSYS_MP03_WDOG,SXU,WDOG,BSYS,0,0,SIOC:BSYS:MP03:HEARTBEAT,221,B106-0131,34,0
SIOC_BSYS_MP04_WDOG,SXU,WDOG,BSYS,0,0,SIOC:BSYS:MP04:HEARTBEAT,228,B005-L0716,32,0
SIOC_LTUS_MP01_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP01:HEARTBEAT,254,B911-0634,32,0
SIOC_LTUS_MP02_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP02:HEARTBEAT,254,B911-0634,33,0
SIOC_LTUS_MP03_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP03:HEARTBEAT,254,B911-0634,34,0
SIOC_LTUS_MP04_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP04:HEARTBEAT,266,B912-1426,32,0
SIOC_LTUS_MP05_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP05:HEARTBEAT,266,B912-1426,33,0
SIOC_LTUS_MP06_WDOG,SXU,WDOG,LTUS,0,0,SIOC:LTUS:MP06:HEARTBEAT,266,B912-1426,34,0
SIOC_UNDS_MP01_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP01:HEARTBEAT,272,B913-10233,32,0
SIOC_UNDS_MP02_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP02:HEARTBEAT,306,B921-1433,32,0
SIOC_UNDS_MP03_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP03:HEARTBEAT,306,B921-1433,33,0
SIOC_UNDS_MP04_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP04:HEARTBEAT,306,B921-1433,34,0
SIOC_UNDS_MP05_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP05:HEARTBEAT,306,B921-1433,35,0
SIOC_UNDS_MP06_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP06:HEARTBEAT,306,B921-1433,36,0
SIOC_UNDS_MP07_WDOG,SXU,WDOG,UNDS,0,0,SIOC:UNDS:MP07:HEARTBEAT,306,B921-1433,37,0
SIOC_FEES_MP01_WDOG,SXU,WDOG,FEES,0,0,SIOC:FEES:MP01:HEARTBEAT,342,B940-009-R7,32,0

