Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,offset,slope,Cable_#
BLMS26,SXU,all,UNDS,11833,2610,SXU26,300,B921-1421,0,EI-376-060-05-C0,0.009056,0.0362246,L2K00369
BLMS27,SXU,all,UNDS,11847.5,2710,SXU26/27,300,B921-1421,1,EI-376-060-05-C0,0.009056,0.0362246,L2K00370
BLMS28,SXU,all,UNDS,11862,2810,SXU28,300,B921-1421,2,EI-376-060-05-C0,0.009056,0.0362246,L2K00371
BLMS29,SXU,all,UNDS,11876.5,2910,SXU28/29,300,B921-1421,3,EI-376-060-05-C0,0.009056,0.0362246,L2K00372
BLMS30,SXU,all,UNDS,11891,3010,SXU30,300,B921-1421,4,EI-376-060-05-C0,0.009056,0.0362246,L2K00373
BLMS31,SXU,all,UNDS,11905.5,3110,SXU30/31,300,B921-1421,5,EI-376-060-05-C0,0.009056,0.0362246,L2K00374
BLMS32,SXU,all,UNDS,11920,3210,SXU32,321,B921-8233,5,EI-376-060-05-C0,0.009056,0.0362246,L2K00375
BLMS33,SXU,all,UNDS,11934.5,3310,SXU32/33,321,B921-8233,3,EI-376-060-05-C0,0.009056,0.0362246,L2K00390
BLMS34,SXU,all,UNDS,11949,3410,SXU34,307,B921-1433,1,EI-376-060-05-C0,0.009056,0.0362246,L2K00376
BLMS35,SXU,all,UNDS,11963.5,3510,SXU34/35,307,B921-1433,2,EI-376-060-05-C0,0.009056,0.0362246,L2K00377
BLMS36,SXU,all,UNDS,11978,3610,SXU36,307,B921-1433,3,EI-376-060-05-C0,0.009056,0.0362246,L2K00378
BLMS37,SXU,all,UNDS,11992.5,3710,SXU36/37,307,B921-1433,4,EI-376-060-05-C0,0.009056,0.0362246,L2K00379
BLMS38,SXU,all,UNDS,12007,3810,SXU38,307,B921-1433,5,EI-376-060-05-C0,0.009056,0.0362246,L2K00380
BLMS39,SXU,all,UNDS,12021.5,3910,SXU38/39,327,B921-8218,0,EI-376-060-05-C0,0.009056,0.0362246,L2K00381
BLMS40,SXU,all,UNDS,12036,4010,SXU40,327,B921-8218,1,EI-376-060-05-C0,0.009056,0.0362246,L2K00382
BLMS41,SXU,all,UNDS,12050.5,4110,SXU40/41,327,B921-8218,2,EI-376-060-05-C0,0.009056,0.0362246,L2K00383
BLMS42,SXU,all,UNDS,12065,4210,SXU42,327,B921-8218,3,EI-376-060-05-C0,0.009056,0.0362246,L2K00384
BLMS43,SXU,all,UNDS,12079.5,4310,SXU42/43,327,B921-8218,4,EI-376-060-05-C0,0.009056,0.0362246,L2K00385
BLMS44,SXU,all,UNDS,12094,4410,SXU44,327,B921-8218,5,EI-376-060-05-C0,0.009056,0.0362246,L2K00386
BLMS45,SXU,all,UNDS,12108.5,4510,SXU44/45,321,B921-8233,0,EI-376-060-05-C0,0.009056,0.0362246,L2K00387
BLMS46,SXU,all,UNDS,12123,4610,SXU46,321,B921-8233,1,EI-376-060-05-C0,0.009056,0.0362246,L2K00388
BLMS47,SXU,all,UNDS,12137.5,4710,SXU46/47,321,B921-8233,2,EI-376-060-05-C0,0.009056,0.0362246,L2K00389
BLMH13,HXU,all,UNDH,11688,1375,HXU13,295,B913-10725,2,EI384-402-54-C2,0.009056,0.0362246,L2K01791
BLMH14,HXU,all,UNDH,11701.17,1475,HXU13/14,295,B913-10725,3,EI384-402-54-C2,0.009056,0.0362246,L2K01792
BLMH15,HXU,all,UNDH,11714.34,1575,HXU15,295,B913-10725,4,EI384-402-54-C2,0.009056,0.0362246,L2K01793
BLMH16,HXU,all,UNDH,11727.51,1675,HXU15/16,295,B913-10725,5,EI384-402-54-C2,0.009056,0.0362246,L2K01794
BLMH17,HXU,all,UNDH,11740.68,1775,HXU17,288,B913-10718,0,EI384-402-54-C2,0.009056,0.0362246,L2K01795
BLMH18,HXU,all,UNDH,11753.85,1875,HXU17/18,288,B913-10718,1,EI384-402-54-C2,0.009056,0.0362246,L2K01796
BLMH19,HXU,all,UNDH,11767.02,1975,HXU19,288,B913-10718,2,EI384-402-54-C2,0.009056,0.0362246,L2K01797
BLMH20,HXU,all,UNDH,11780.19,2075,HXU19/20,288,B913-10718,3,EI384-402-54-C2,0.009056,0.0362246,L2K01798
BLMH21,HXU,all,UNDH,11793.36,2175,HXU21,288,B913-10718,4,EI384-402-54-C2,0.009056,0.0362246,L2K01799
BLMH22,HXU,all,UNDH,11806.53,2275,HXU21/22,288,B913-10718,5,EI384-402-54-C2,0.009056,0.0362246,L2K01800
BLMH23,HXU,all,UNDH,11819.7,2375,HXU23,282,B913-10711,0,EI384-402-54-C2,0.009056,0.0362246,L2K01801
BLMH24,HXU,all,UNDH,11832.87,2475,HXU23/24,282,B913-10711,1,EI384-402-54-C2,0.009056,0.0362246,L2K01802
BLMH25,HXU,all,UNDH,11846.04,2575,HXU25,282,B913-10711,2,EI384-402-54-C2,0.009056,0.0362246,L2K01803
BLMH26,HXU,all,UNDH,11859.21,2675,HXU25/26,282,B913-10711,3,EI384-402-54-C2,0.009056,0.0362246,L2K01804
BLMH27,HXU,all,UNDH,11872.38,2775,HXU27,312,B921-1517,0,EI384-402-55-C1,0.009056,0.0362246,L2K01805
BLMH28,HXU,all,UNDH,11885.55,2875,HXU27/28,312,B921-1517,1,EI384-402-55-C1,0.009056,0.0362246,L2K01806
BLMH29,HXU,all,UNDH,11898.72,2975,HXU29,312,B921-1517,2,EI384-402-55-C1,0.009056,0.0362246,L2K01807
BLMH30,HXU,all,UNDH,11911.89,3075,HXU29/30,312,B921-1517,3,EI384-402-55-C1,0.009056,0.0362246,L2K01808
BLMH31,HXU,all,UNDH,11925.06,3175,HXU31,312,B921-1517,4,EI384-402-55-C1,0.009056,0.0362246,L2K01809
BLMH32,HXU,all,UNDH,11938.23,3275,HXU32,312,B921-1517,5,EI384-402-55-C1,0.009056,0.0362246,L2K01810
BLMH33,HXU,all,UNDH,11951.4,3375,HXU32/33,330,B921-8317,0,EI384-402-55-C1,0.009056,0.0362246,L2K01811
BLMH34,HXU,all,UNDH,11964.57,3475,HXU34,330,B921-8317,1,EI384-402-55-C1,0.009056,0.0362246,L2K01812
BLMH35,HXU,all,UNDH,11977.74,3575,HXU34/35,330,B921-8317,2,EI384-402-55-C1,0.009056,0.0362246,L2K01813
BLMH36,HXU,all,UNDH,11990.91,3675,HXU36,330,B921-8317,3,EI384-402-55-C1,0.009056,0.0362246,L2K01814
BLMH37,HXU,all,UNDH,12004.08,3775,HXU36/37,330,B921-8317,4,EI384-402-55-C1,0.009056,0.0362246,L2K01815
BLMH38,HXU,all,UNDH,12017.25,3875,HXU38,330,B921-8317,5,EI384-402-55-C1,0.009056,0.0362246,L2K01816
BLMH39,HXU,all,UNDH,12030.42,3975,HXU38/39,335,B921-8324,0,EI384-402-55-C1,0.009056,0.0362246,L2K01817
BLMH40,HXU,all,UNDH,12043.59,4075,HXU40,335,B921-8324,1,EI384-402-55-C1,0.009056,0.0362246,L2K01818
BLMH41,HXU,all,UNDH,12056.76,4175,HXU40/41,335,B921-8324,2,EI384-402-55-C1,0.009056,0.0362246,L2K01819
BLMH42,HXU,all,UNDH,12069.93,4275,HXU42,335,B921-8324,3,EI384-402-55-C1,0.009056,0.0362246,L2K01820
BLMH43,HXU,all,UNDH,12083.1,4375,HXU42/43,335,B921-8324,4,EI384-402-55-C1,0.009056,0.0362246,L2K01821
BLMH44,HXU,all,UNDH,12096.27,4475,HXU44,335,B921-8324,5,EI384-402-55-C1,0.009056,0.0362246,L2K01822
BLMH45,HXU,all,UNDH,12109.44,4575,HXU44/45,317,B921-1524,0,EI384-402-55-C1,0.009056,0.0362246,L2K01823
BLMH46,HXU,all,UNDH,12122.61,4675,HXU46,317,B921-1524,1,EI384-402-55-C1,0.009056,0.0362246,L2K01824
BLMS48,SXU,all,UNDS,12150,4810,SXU47/48,321,B921-8233,4,EI-376-060-05-C0,0.009056,0.0362246,MISSING
