Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Measured_Device_Type_Id,offset,slope,Drawing_#,Mapping,Cable_#
LBLM:GUNB:212:A_WF,LINAC,all,GUNB,13.9,212:A,L2KG01-2143-DIAG-OUT,17,L2KG01-1925,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08299
LBLM:GUNB:212:B_WF,LINAC,all,GUNB,13.9,212:B,L2KG01-2140-DIAG-OUT,17,L2KG01-1925,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08300
LBLM:HTR:167:B_WF,LINAC,all,HTR,78.4,167:B,L2KG01-2015-DIAG-OUT,24,L2KG01-1931,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08301
LBLM:COL0:862:A_WF,LINAC,all,COL0,123.5,862:A,L2KG02-2636-DIAG-OUT,38,L2KG02-2209,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08302
LBLM:COL0:862:B_WF,LINAC,all,COL0,123.5,862:B,L2KG02-2630-DIAG-OUT,38,L2KG02-2209,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08303
LBLM:L1B:H282:B_WF,LINAC,all,L1B,183.3,H282:B,L2KG02-2627-DIAG-OUT,48,L2KG02-2323,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08304
LBLM:L2B:0400:B_WF,LINAC,all,L2B,326.81,0400:B,L2KG04-2727-DIAG-OUT,66,L2KG04-2609,3,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08305
LBLM:L2B:1587:B_WF,LINAC,all,L2B,407.97,1587:B,L2KG05-6227-DIAG-OUT,75,L2KG05-6122,2,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08306
LBLM:L3B:1600:B_WF,LINAC,all,L3B,515.67,1600:B,L2KG06-6015-DIAG-OUT,88,L2KG06-6133,2,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08307
LBLM:L3B:2600:A_WF,LINAC,all,L3B,635.86,2600:A,L2KG07-3719-DIAG-OUT,94,L2KG07-3737,3,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08308
LBLM:L3B:2600:B_WF,LINAC,all,L3B,635.86,2600:B,L2KG07-3715-DIAG-OUT,94,L2KG07-3737,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08309
LBLM:L3B:3578:A_WF,LINAC,all,L3B,832.81,3578:A,L2KG09-3C16-DIAG-OUT,110,L2KG09-3C33,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08310
LBLM:BPN17:517:A_WF,LINAC,all,BPN17,1892.09,517:A,L2KG19-6D16-DIAG-OUT,139,L2KG19-6D33,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08311
LBLM:BPN19:635:A_WF,LINAC,all,BPN19,2095.29,635:A,L2KG21-6C27-DIAG-OUT,144,L2KG21-0433,2,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08312
LBLM:BPN21:635:A_WF,LINAC,all,BPN21,2310.84,635:A,L2KG23-7D16-DIAG-OUT,150,L2KG23-7D37,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08313
LBLM:BPN23:739:A_WF,LINAC,all,BPN23,2514.04,739:A,L2KG25-7D17-DIAG-OUT,155,L2KG25-7D37,2,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08314
LBLM:BPN25:739:A_WF,LINAC,all,BPN25,2717.24,739:A,L2KG27-7D16-DIAG-OUT,161,L2KG27-7D37,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08315
LBLM:BPN27:739:A_WF,LINAC,all,BPN27,2883.41,739:A,L2KG29-5F27-DIAG-OUT,178,L2KG29-7D17,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08316
LBLM:BPN28:739:B_WF,LINAC,all,BPN28,3015.79,739:B,L2KG30-7E27-DIAG-OUT,193,L2KG30-7D20,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08317
LBLM:SPS:870:B_WF,SXU,all,SPS,3202.84,870:B,B106-0621-DIAG-OUT,225,B106-0131,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08318
LBLM:BSY0:247:A_WF,SXU,all,BSY0,3202.84,247:A,B106-0624-DIAG-OUT,225,B106-0131,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08319
LBLM:LTUS:105:A_WF,SXU,all,LTUS,3403.38,105:A,B911-2426-DIAG-OUT,248,B911-0627,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08320
LBLM:LTUS:433:A_WF,SXU,all,LTUS,3464.23,433:A,B912-1533-DIAG-OUT,271,B912-1426,3,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08321
LBLM:LTUS:433:B_WF,SXU,all,LTUS,3464.23,433:B,B912-1527-DIAG-OUT,271,B912-1426,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08322
LBLM:LTUH:433:B_WF,HXU,all,LTUH,3466.86,433:B,B912-1524-DIAG-OUT,265,B912-1419,3,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08323
LBLM:LTUS:738:B_WF,SXU,all,LTUS,3546.45,738:B,B913-3030-DIAG-OUT,273,B913-10233,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08324
LBLM:LTUH:738:B_WF,HXU,all,LTUH,3544.35,738:B,B913-3027-DIAG-OUT,282,B913-10711,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08325
LBLM:LTUS:846:A_WF,SXU,all,LTUS,3680.18,846:A,B921-7036-DIAG-OUT,305,B921-1421,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08326
LBLM:LTUH:846:A_WF,HXU,all,LTUH,3680.18,846:A,B921-7024-DIAG-OUT,214,B921-1524,2,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08327
LBLM:UNDS:4050:A_WF,SXU,all,UNDS,3697.25,4050:A,B921-7033-DIAG-OUT,299,B921-8218,0,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08328
LBLM:UNDH:4050:A_WF,HXU,all,UNDH,3701.52,4050:A,B921-7021-DIAG-OUT,214,B921-1524,3,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08329
LBLM:UNDS:4650:A_WF,SXU,all,UNDS,3697.25,4650:A,B921-7030-DIAG-OUT,299,B921-8218,1,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08330
LBLM:UNDS:4650:B_WF,SXU,all,UNDS,3697.25,4650:B,B921-7018-DIAG-OUT,299,B921-8218,2,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08331
LBLM:UNDH:4750:A_WF,HXU,all,UNDH,3701.52,4750:A,B921-7027-DIAG-OUT,214,B921-1524,4,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08332
LBLM:UNDH:4750:B_WF,HXU,all,UNDH,3701.52,4750:B,B921-7027-DIAG-OUT,214,B921-1524,5,38,372,0.038,BCS-BLM-A-P0-3-P1-3,OK,L2A08333
PMT:DMPS:431,SXU,all,DMPS,9999,431,B921-8218,299,B921-8218,3,40,372,0.038,Missing,OK,MISSING
PMT:DMPH:431,HXU,all,DMPH,9999,431,B921-8218,299,B921-8218,4,40,372,0.038,Missing,OK,Missing
