Column1,Location,Sector,Rack,Elevation,Num_Slots,Shelf_Number,Crate_Id,LN_Area,LN_Location,LN_Type,LN_Slot,LCLS1_ID,Group,Group_Link,Group_Link_Destination,Beam_Line,Network_Drawing,CPU_Name,Fiber_id,Number of Apps,Bandwidth
1,L2KA00-0517,LI00,5,17,7,0,1,GUNB,MP01,2,2,50,0,0,0,Linac,SD-144-182-02-C0,cpu-gunb-sp01,,7,752
2,L2KA00-0615,LI00,6,15,7,0,101,L0B,MP01,2,2,51,0,3,0,Linac,SD-144-182-02-C0,cpu-l0b-sp01,,6,592
3,L2KA00-0608,LI00,6,8,7,0,1,L0B,MP02,2,2,52,0,1,0,Linac,SD-144-182-02-C0,cpu-l0b-sp01,,4,448
4,L2KG01-1925,LI01,19,25,7,0,1,L0B,MP03,2,2,53,1,5,0,Linac,SD-144-182-03-C0,cpu-l0b-sp02,,7,640
5,L2KG01-1931,LI01,19,31,7,0,101,L0B,MP04,2,2,54,1,6,0,Linac,SD-144-182-03-C0,cpu-l0b-sp02,,7,736
6,L2KG01-1937,LI01,19,37,7,0,201,L0B,MP05,2,2,55,1,7,0,Linac,SD-144-182-03-C0,cpu-l0b-sp02,,4,400
7,L2KG01-2037,LI01,20,37,7,0,1,COL0,MP01,2,2,56,1,0,1,Linac,SD-144-182-03-C0,cpu-col0-sp01,,5,528
8,L2KG02-2209,LI02,22,9,7,0,1,BC1B,MP01,2,2,57,2,9,0,Linac,SD-144-182-04-C0,cpu-bc1b-sp01,,6,544
9,L2KG02-2215,LI02,22,15,7,0,101,BC1B,MP02,2,2,58,2,10,0,Linac,SD-144-182-04-C0,cpu-bc1b-sp01,,5,496
10,L2KG02-2323,LI02,23,23,7,0,1,BC1B,MP03,2,2,59,2,0,2,Linac,SD-144-182-04-C0,cpu-bc1b-sp02,,6,640
11,L2KG03-4933,LI03,49,33,7,0,1,L2B,MP01,2,2,60,3,0,3,Linac,SD-144-182-05-C0,cpu-l2b-sp01,,4,400
12,L2KG03-6033,LI03,60,33,7,0,1,L2B,MP02,2,2,61,3,11,0,Linac,SD-144-182-05-C0,cpu-l2b-sp02,,5,512
13,L2KG04-1923,LI04,19,23,7,0,1,BC2B,MP01,2,2,62,4,15,0,Linac,SD-144-182-06-C0,cpu-bc2b-sp01,,5,416
14,L2KG04-2609,LI04,26,9,7,0,1,L2B,MP03,2,2,63,4,0,4,Linac,SD-144-182-06-C0,cpu-l2b-sp03,,5,560
15,L2KG04-2615,LI04,26,15,7,0,101,L2B,MP04,2,2,64,4,14,0,Linac,SD-144-182-06-C0,cpu-l2b-sp03,,6,608
16,L2KG05-6122,LI05,61,22,7,0,1,BC2B,MP02,2,2,65,5,17,0,Linac,SD-144-182-07-C0,cpu-bc2b-sp02,,7,816
17,L2KG05-6133,LI05,61,33,7,0,101,BC2B,MP03,2,2,66,5,18,0,Linac,SD-144-182-07-C0,cpu-bc2b-sp02,,3,304
18,L2KG06-6033,LI06,60,33,7,0,1,L3B,MP01,2,2,67,5,19,0,Linac,SD-144-182-07-C0,cpu-l3b-sp01,,4,400
19,L2KG06-6133,LI06,61,33,7,0,1,L3B,MP02,2,2,68,5,0,5,Linac,SD-144-182-07-C0,cpu-l3b-sp02,,6,672
20,L2KG07-3737,LI07,37,37,7,0,1,L3B,MP03,2,2,69,6,21,0,Linac,SD-144-182-08-C0,cpu-l3b-sp03,,5,544
21,L2KG07-3831,LI07,38,31,7,0,1,L3B,MP04,2,2,70,6,22,0,Linac,SD-144-182-08-C0,cpu-l3b-sp04,,5,528
22,L2KG08-3A33,LI08,3A,33,7,0,1,L3B,MP05,2,2,71,6,23,0,Linac,SD-144-182-08-C0,cpu-l3b-sp05,,5,560
23,L2KG08-8C33,LI08,8C,33,7,0,1,DOG,MP01,2,2,72,6,0,7,Linac,SD-144-182-08-C0,cpu-dog-sp01,,3,304
24,L2KG09-3C33,LI09,3C,33,7,0,1,DOG,MP02,2,2,73,7,25,1,Linac,SD-144-182-09-C0,cpu-dog-sp02,,3,352
25,L2KG10-0733,LI10,7,33,7,0,1,DOG,MP03,2,2,74,7,0,8,Linac,SD-144-182-09-C0,cpu-dog-sp03,,2,208
26,L2KG11-4D33,LI11,4D,33,7,0,1,DOG,MP04,2,2,75,7,25,0,Linac,SD-144-182-09-C0,cpu-dog-sp04,,4,352
27,L2KG12-0133,LI12,1,33,7,0,1,DOG,MP05,2,2,76,7,26,0,Linac,SD-144-182-09-C0,cpu-dog-sp05,,3,208
28,L2KG13-4D33,LI13,4D,33,7,0,1,BPN13,MP01,2,2,77,8,29,1,Linac,SD-144-182-10-C0,cpu-bpn13-sp01,,3,352
29,L2KG14-7D33,LI14,7D,33,7,0,1,BPN14,MP01,2,2,78,8,0,9,Linac,SD-144-182-10-C0,cpu-bpn14-sp01,,3,208
30,L2KG15-4D33,LI15,4D,33,7,0,1,BPN15,MP01,2,2,79,8,29,0,Linac,SD-144-182-10-C0,cpu-bpn15-sp01,,3,352
31,L2KG16-6C33,LI16,6C,33,7,0,1,BPN16,MP01,2,2,80,8,30,0,Linac,SD-144-182-10-C0,cpu-bpn16-sp01,,3,208
32,L2KG17-3D33,LI17,3D,33,7,0,1,BPN17,MP01,2,2,81,9,33,0,Linac,SD-144-182-11-C0,cpu-bpn17-sp01,,3,352
33,L2KG18-6C33,LI18,6C,33,7,0,1,BPN18,MP01,2,2,82,9,34,0,Linac,SD-144-182-11-C0,cpu-bpn18-sp01,,2,208
34,L2KG19-6D33,LI19,6D,33,7,0,1,BPN19,MP01,2,2,83,9,35,0,Linac,SD-144-182-11-C0,cpu-bpn19-sp01,,3,352
35,FKG20-0127,LI20,1,27,7,0,1,BPN20,MP01,2,2,84,9,0,10,Linac,SD-144-182-11-C0,cpu-bpn20-sp01,,2,208
36,L2KG21-0433,LI21,4,33,7,0,1,BPN21,MP01,2,2,85,10,37,0,Linac,SD-144-182-12-C0,cpu-bpn21-sp01,,3,352
37,L2KG22-7D37,LI22,7D,37,7,0,1,BPN22,MP01,2,2,86,10,38,0,Linac,SD-144-182-12-C0,cpu-bpn22-sp01,,3,352
38,L2KG23-7D37,LI23,7D,37,7,0,1,BPN23,MP01,2,2,87,10,39,0,Linac,SD-144-182-12-C0,cpu-bpn23-sp01,,3,352
39,L2KG24-3D37,LI24,3D,37,7,0,1,BPN24,MP01,2,2,88,10,0,11,Linac,SD-144-182-12-C0,cpu-bpn24-sp01,,2,208
40,L2KG25-7D37,LI25,7D,37,7,0,1,BPN25,MP01,2,2,89,11,41,1,Linac,SD-144-182-13-C0,cpu-bpn25-sp01,,3,352
41,L2KG26-7D37,LI26,7D,37,7,0,1,BPN26,MP01,2,2,90,11,0,12,Linac,SD-144-182-13-C0,cpu-bpn26-sp01,,3,352
42,L2KG27-7D37,LI27,7D,37,7,0,1,BPN27,MP01,2,2,91,11,41,0,Linac,SD-144-182-13-C0,cpu-bpn27-sp01,,3,352
43,L2KG28-0137,LI28,1,37,7,0,1,BPN28,MP01,2,2,190,12,45,0,SXR,SD-144-182-14-C0,cpu-bpn28-sp01,,3,304
44,L2KG28-7D27,LI28,7D,30,7,0,1,SPH,MP01,2,2,120,13,47,0,HXR,SD-144-182-15-C0,cpu-sph-sp01,,3,352
45,L2KG28-7D34,LI28,7D,37,7,0,1,SPS,MP01,2,2,191,12,49,1,SXR,SD-144-182-14-C0,cpu-sps-sp01,,2,208
46,L2KG29-3D27,LI29,3D,27,7,0,1,SPD,MP01,2,2,92,14,48,0,DMP,SD-144-182-16-C0,cpu-spd-sp01,,2,208
47,L2KG29-3D34,LI29,3D,34,7,0,1,SPH,MP02,2,2,121,13,50,1,HXR,SD-144-182-15-C0,cpu-sph-sp02,,3,304
48,L2KG29-7D10,LI29,7D,10,7,0,1,SPD,MP02,2,2,93,14,60,0,DMP,SD-144-182-16-C0,cpu-spd-sp02,,3,304
49,L2KG29-7D17,LI29,7D,17,7,0,1,SPS,MP02,2,2,192,12,0,0,SXR,SD-144-182-14-C0,cpu-sps-sp02,,5,544
50,L2KG29-7D24,LI29,7D,24,7,0,1,SPH,MP03,2,2,122,13,0,1,HXR,SD-144-182-15-C0,cpu-sph-sp03,,3,304
51,L2KG30-4E13,LI30,4E,13,7,0,1,SPD,MP03,2,2,94,14,46,0,DMP,SD-144-182-16-C0,cpu-spd-sp03,,2,208
52,L2KG30-4E20,LI30,4E,20,7,0,1,SPS,MP03,2,2,193,12,49,0,SXR,SD-144-182-14-C0,cpu-sps-sp03,,2,192
53,L2KG30-4E27,LI30,4E,27,7,0,1,SPH,MP04,2,2,123,13,50,0,HXR,SD-144-182-15-C0,cpu-sph-sp04,,3,320
54,L2KG30-7D13,LI30,7D,13,7,0,1,SPD,MP04,2,2,95,14,51,0,DMP,SD-144-182-16-C0,cpu-spd-sp04,,3,208
55,L2KG30-7D20,LI30,7D,20,7,0,1,SPS,MP04,2,2,194,12,52,0,SXR,SD-144-182-14-C0,cpu-sps-sp04,,4,448
56,L2KG30-7D27,LI30,7D,27,7,0,1,SPH,MP05,2,2,124,13,53,0,HXR,SD-144-182-15-C0,cpu-sph-sp05,,4,448
57,B136-0521,CLTS,5,21,7,0,1,CLTS,MP01,1,2,195,16,58,0,CLTS,SD-144-182-18-C0,cpu-sps-sp05,,2,256
58,B136-0528,LTUS,5,28,7,0,101,SPS,MP05;MP06;MP07,3,2;5;6,196;197;198,16,62,0,SXR,SD-144-182-18-C0,cpu-sps-sp05,,5,640
59,B136-0628,LTUH,6,28,7,0,1,SPH,MP06;MP07,3,2;5,125;126,15,61,0,HXR,SD-144-182-17-C0,cpu-sph-sp06,,5,592
60,B106-0117,LTU,1,17,7,0,1,SLTD,MP01,3,2,96,14,0,2,DMP,SD-144-182-16-C0,cpu-sltd-sp01,,3,208
61,B106-0124,LTU,1,24,7,0,1,BSYH,MP01;MP02,3,2;6,127;128,15,66,0,HXR,SD-144-182-17-C0,cpu-bsyh-sp01,,6,592
62,B106-0131,LTU,1,31,7,0,1,BSYS,MP01;MP02;MP03,3,2;5;6,199;200;201,16,67,0,SXR,SD-144-182-18-C0,cpu-bsys-sp01,,6,736
63,B005-L0811,LTU,L08,11,7,0,1,BSYH,MP03,3,2,129,15,0,3,HXR,SD-144-182-17-C0,cpu-bsyh-sp02,,2,256
64,B005-L0716,LTU,L07,16,7,0,1,BSYS,MP04,3,2,202,16,0,4,SXR,SD-144-182-18-C0,cpu-bsys-sp02,,2,256
65,B105-0117,LTU,1,17,7,0,1,LTUH,MP01,3,2,130,15,63,0,HXR,SD-144-182-16-C0,cpu-ltuh-sp01,,3,304
66,B105-0124,LTU,1,24,7,0,101,LTUH,MP02,3,2,131,15,65,0,HXR,SD-144-182-17-C0,cpu-ltuh-sp01,,7,640
67,B105-0131,LTU,1,31,7,0,1,LTUS,MP01,3,2,203,16,64,0,SXR,SD-144-182-18-C0,cpu-ltus-sp01,,5,544
68,B911-0620,UND,6,20,7,0,1,LTUH,MP03,3,2,132,19,0,8,HXR,SD-144-182-21-C0,cpu-ltuh-sp02,,7,640
69,B911-0627,UND,6,27,7,0,1,LTUS,MP02,3,2,204,17,0,5,SXR,SD-144-182-19-C0,cpu-ltus-sp02,,6,544
70,B911-0634,UND,6,34,7,0,101,LTUS,MP03,3,2,205,17,69,0,SXR,SD-144-182-19-C0,cpu-ltus-sp02,,6,640
71,B911-0537,UND,5,37,7,0,101,LTUH,MP04,3,2,133,19,68,0,HXR,SD-144-182-21-C0,cpu-ltuh-sp02,,2,256
72,B912-1419,UND,14,19,7,0,1,LTUH,MP05;MP06,3,2;6,134;135,19,71,0,HXR,SD-144-182-21-C0,cpu-ltuh-sp03,,5,592
73,B912-1426,UND,14,26,7,0,1,LTUS,MP04;MP05,3,2;6,206;207,17,70,0,SXR,SD-144-182-19-C0,cpu-ltus-sp03,,6,592
74,B913-10233,UND,102,33,7,0,1,UNDS,MP01,3,2,208,17,73,0,SXR,SD-144-182-19-C0,cpu-unds-sp01,,6,544
75,B913-10333,UND,103,33,7,0,1,LTUS,MP06,3,2,209,17,74,0,SXR,SD-144-182-19-C0,cpu-ltus-sp04,,5,544
76,B913-10711,UND,107,11,7,0,1,UNDH,MP01;MP02,3,2;7,136;137,18,0,7,HXR,SD-144-182-20-C0,cpu-undh-sp01,,7,688
77,B913-10718,UND,107,18,7,0,1,UNDH,MP03,3,2,138,18,76,0,HXR,SD-144-182-20-C0,cpu-undh-sp05,,7,736
78,B913-10725,UND,107,25,7,0,1,UNDH,MP04,3,2,139,18,77,0,HXR,SD-144-182-20-C0,cpu-undh-sp06,,5,544
79,B921-1421,DMP,12,21,7,0,1,UNDS,MP02;MP03;MP04,3,2;6;7,210;211;212,20,0,9,SXR,SD-144-182-22-C0,cpu-unds-sp02,,7,832
80,B921-1433,DMP,12,33,7,0,101,UNDS,MP05,3,2,213,21,0,10,SXR,SD-144-182-23-C0,cpu-unds-sp02,,6,640
81,B921-1517,DMP,15,17,7,0,1,UNDH,MP05,3,2,140,23,0,12,HXR,SD-144-182-25-C0,cpu-undh-sp02,,5,544
82,B921-1524,DMP,15,24,7,0,101,UNDH,MP06;MP07;MP10,3,2;6;3,141;142;146,22,0,11,HXR,SD-144-182-24-C0,cpu-undh-sp02,,6,592
83,B921-8218,DMP,82,18,7,0,1,UNDS,MP06;MP08,3,2;5,214;217,20,84,0,SXR,SD-144-182-22-C0,cpu-unds-sp03,,5,592
84,B921-8233,DMP,82,33,7,0,101,UNDS,MP07,3,2,215,20,79,0,SXR,SD-144-182-22-C0,cpu-unds-sp03,,7,736
85,B921-8317,DMP,83,17,7,0,1,UNDH,MP08,3,2,143,22,86,0,HXR,SD-144-182-24-C0,cpu-undh-sp03,,6,640
86,B921-8324,DMP,83,24,7,0,101,UNDH,MP09,3,2,144,22,82,0,HXR,SD-144-182-24-C0,cpu-undh-sp03,,6,640
87,B940-009-R2,FEE,1,1,7,0,1,FEEH,MP01;MP02,3,2;3,145;147,23,81,0,HXR,MISSING,cpu-feeh-sp01,,2,256
88,B940-009-R7,FEE,1,2,7,0,1,FEES,MP01;MP02;MP03,3,2;6;7,216;218;219,21,80,0,SXR,MISSING,cpu-fees-sp01,,3,256
